rus,o'zbek,inglizcha
и,va,and
в / во,ichida / da,in / inside of / at
не,emas / yo'q,not / no
он,u (erkak),he
на,ustida / ga / da,on / over / to
я,men,I
что,nima / u,that / what
тот,u / o'sha,that
быть,bo'lmoq,to be
с / со,bilan / dan / dan boshlab,with / from / since
а,lekin / esa,but / whereas
весь,hamma / butun,all / entire
это,bu / u,this / it
как,qanday / qancha,how
она,u (ayol),she
по,bo'ylab / bo'yicha,on / along
но,lekin,but
они,ular,they
к / ко,ga / tomon,to / towards
у,yonida / da,at / close to
из / изо,dan / ichidan,from / out of
мы,biz,we
за,uchun / ortida,for / behind
ты,sen,you / thou
вы,siz,you
так,shunday / shu tarzda,so / thus
сказать,aytmoq / gapirmoq,to tell
от,dan,off / from
этот,bu,this
который,qaysi / u,which
мочь,qila olmoq,can
о / об / обо,haqida / to'g'risida,about / on the topic of
человек,odam / inson,person
один,bir,one
ещё,hali / yana,still / yet / more
такой,bunday / shunday,such
только,faqat,only
себя,o'zini / o'zim / o'zing,myself / himself / herself / itself
своё,o'zining,its / own
какой,qanday / qaysi,what / which
для,uchun,for
уже / уж,allaqachon,already
когда,qachon,when
кто,kim,who
вот,mana / ana,here is / there
да,ha,yes
год,yil,year
знать,bilmoq,to know
если,agar / agar-da,if / in case
до,gacha / ga qadar,until / up to
говорить,gapirmoq / so'zlamoq,to speak
или,yoki,or
мой,mening,mine
время,vaqt,time
рука,qo'l,hand
самый,eng,most
нет,yo'q,no
ни,hech / na,not a / in no
стать,bo'lmoq / aylanmoq,to become
большой,katta / ulkan,big
наш,bizning,ours
даже,hatto,even
другой,boshqa,another
свой,o'zining,its / own
дело,ish / vazifa,business
под,ostida / pastida,under
где,qayerda,where
ну,xo'sh / bo'ldi,well / come on
сам,o'zi / o'zim / o'zing,myself / yourself / itself
есть,bo'lmoq / yemoq,to be / to eat
раз,marta / bir marta,time / once
два,ikki,two
чем,dan (taqqoslash) / o'rniga,than / instead of
там,u yerda / o'sha yerda,there
глаз,ko'z,eye
первый,birinchi,first
день,kun,day
жизнь,hayot / umr,life
тут,bu yerda,here
ничто,hech narsa,nothing
потом,keyin / so'ngra,then / afterwards
очень,juda / g'oyat,very
ли,mi (so'roq yuklamasi) / yoki,whether
при,da / bilan / paytida,at / with / at the time of
хотеть,xohlamoq / istamoq,to want
надо,kerak / zarur,need / one must
голова,bosh,head
без,siz / -siz,without
видеть,ko'rmoq,to see
теперь,endi / hozir,now
идти,bormoq / yurmoq,to go
друг,do'st,friend
сейчас,hozir / hoziroq,now
стоять,turmoq,to stand
дом,uy,house
тоже,ham,too
после,keyin / dan so'ng,after
можно,mumkin / bo'ladi,it is possible / one may
слово,so'z,word
через,orqali / bo'ylab / dan keyin,across / through / after
место,joy / o'rin,place
думать,o'ylamoq,to think
здесь,bu yerda,here
спросить,so'ramoq,to ask
лицо,yuz / aft,face
тогда,u payt / o'shanda,then
что (мест.),nima / u,that / which
должный,kerakli / lozim,due / proper
ведь,axir / aslida,in fact
новый,yangi,new
каждый,har bir / hamma,everyone
хороший,yaxshi,good
жить,yashаmoq,to live
почему,nima uchun / nega,why
потому,shuning uchun,that is why
сторона,tomon / yon,side
смотреть,qaramoq / ko'rmoq,to look
иметь,ega bo'lmoq,to have
просто,oddiy / shunchaki,simply
понять,tushunmoq / anglamoq,to understand
сидеть,o'tirmoq,to sit
нога,oyoq / oyoq (pastki qism),leg
делать,qilmoq / bajarmoq,to do
сделать,qilmoq / yasamoq,to make
вдруг,to'satdan / birdaniga,suddenly
никто,hech kim,no one / nobody
работа,ish / mehnat,work
перед,oldida / dan oldin,before / in front of
ваш,sizning,yours
нужный,kerakli / zaruriy,necessary
над / надо,ustida,above / on top of
взять,olmoq / ko'tarmoq,to take
