Essential,Unit,English,Uzbek
Essential 1,Unit 1,afraid,qo'rqmoq
Essential 1,Unit 1,agree,rozi bo'lmoq
Essential 1,Unit 1,angry,jahlda
Essential 1,Unit 1,arrive,yetib kelmoq
Essential 1,Unit 1,attack,hujum qilmoq
Essential 1,Unit 1,bottom,tagi osti
Essential 1,Unit 1,clever,aqlli
Essential 1,Unit 1,cruel,shafqatsiz
Essential 1,Unit 1,finally,nihoyat
Essential 1,Unit 1,hide,yashirmoq
Essential 1,Unit 1,hunt,ovlamoq
Essential 1,Unit 1,lot,ko'p
Essential 1,Unit 1,middle,o'rta
Essential 1,Unit 1,moment,lahza
Essential 1,Unit 1,pleased,mamnun
Essential 1,Unit 1,promise,va'da bermoq
Essential 1,Unit 1,reply,javob bermoq
Essential 1,Unit 1,safe,xavfsiz
Essential 1,Unit 1,trick,hiyla
Essential 1,Unit 1,well,yaxshi
Essential 1,Unit 2,adventure,sarguzasht
Essential 1,Unit 2,approach,yaqinlashmoq
Essential 1,Unit 2,carefully,ehtiyotkorlik bilan
Essential 1,Unit 2,chemical,kimyoviy
Essential 1,Unit 2,create,yaratmoq
Essential 1,Unit 2,evil,yomonlik
Essential 1,Unit 2,experiment,tajriba
Essential 1,Unit 2,kill,o'ldirmoq
Essential 1,Unit 2,laboratory,laboratoriya
Essential 1,Unit 2,laugh,kulmoq
Essential 1,Unit 2,loud,baland ovozda
Essential 1,Unit 2,nervous,asabiy
Essential 1,Unit 2,noise,shovqin
Essential 1,Unit 2,project,loyiha
Essential 1,Unit 2,scare,qo'rqitmoq
Essential 1,Unit 2,secret,sir
Essential 1,Unit 2,shout,baqirmoq
Essential 1,Unit 2,smell,hid
Essential 1,Unit 2,terrible,qo'rqinchli
Essential 1,Unit 2,worse,yomonroq
Essential 1,Unit 3,alien,begona
Essential 1,Unit 3,among,orasida
Essential 1,Unit 3,chart,"grafik ,jadval"
Essential 1,Unit 3,cloud,bulut
Essential 1,Unit 3,comprehend,tushunmoq
Essential 1,Unit 3,describe,ta'riflamoq
Essential 1,Unit 3,ever,qachon bo'lsa ham
Essential 1,Unit 3,fail,muvaffaqiyatsizlikka uchramoq
Essential 1,Unit 3,friendly,do'stona
Essential 1,Unit 3,grade,baho
Essential 1,Unit 3,instead,o'rniga
Essential 1,Unit 3,library,kutubxona
Essential 1,Unit 3,planet,sayyora
Essential 1,Unit 3,report,hisobot
Essential 1,Unit 3,several,bir nechta
Essential 1,Unit 3,solve,hal qilmoq
Essential 1,Unit 3,suddenly,to'satdan
Essential 1,Unit 3,suppose,faraz qilmoq
Essential 1,Unit 3,universe,olam
Essential 1,Unit 3,view,ko'rinish
Essential 1,Unit 4,appropriate,muvofiq
Essential 1,Unit 4,avoid,"oldini olmoq, saqlanmoq"
Essential 1,Unit 4,behave,o'zini tutmoq
Essential 1,Unit 4,calm,sokin
Essential 1,Unit 4,concern,tashvishlanmoq
Essential 1,Unit 4,content,mamnun
Essential 1,Unit 4,expect,kutmoq
Essential 1,Unit 4,frequently,tez-tez
Essential 1,Unit 4,habit,odat
Essential 1,Unit 4,instruct,ko'rsatma bermoq
Essential 1,Unit 4,issue,masala
Essential 1,Unit 4,none,hech biri
Essential 1,Unit 4,patient,sabrli
Essential 1,Unit 4,positive,ijobiy
Essential 1,Unit 4,punish,jazolamoq
Essential 1,Unit 4,represent,vakillik qilmoq
Essential 1,Unit 4,shake,silkitmoq
Essential 1,Unit 4,spread,tarqalmoq
Essential 1,Unit 4,stroll,sayrga chiqmoq
Essential 1,Unit 4,village,qishloq
Essential 1,Unit 5,aware,xabardor
Essential 1,Unit 5,badly,yomon
Essential 1,Unit 5,belong,tegishli bo'lmoq
Essential 1,Unit 5,continue,davom etmoq
Essential 1,Unit 5,error,xato
Essential 1,Unit 5,experience,tajriba
Essential 1,Unit 5,field,maydon
